Running Order	Country	Artist	Song
1	🇳🇴 Norway	Alessandra	Queen of Kings
2	🇲🇹 Malta	The Busker	Dance (Our Own Party)
3	🇷🇸 Serbia	Luke Black	Samo mi se spava
4	🇱🇻 Latvia	Sudden Lights	Aijā
5	🇵🇹 Portugal	Mimicat	Ai coração
6	🇮🇪 Ireland	Wild Youth	We Are One
7	🇭🇷 Croatia	Let 3	Mama ŠČ!
8	🇨🇭 Switzerland	Remo Forrer	Watergun
9	🇮🇱 Israel	Noa Kirel	Unicorn
10	🇲🇩 Moldova	Pasha Parfeni	Soarele și luna
11	🇸🇪 Sweden	Loreen	Tattoo
12	🇦🇿 Azerbaijan	TuralTuranX	Tell Me More
13	🇨🇿 Czechia	Vesna	My Sister's Crown
14	🇳🇱 Netherlands	Mia Nicolai and Dion Cooper	Burning Daylight
15	🇫🇮 Finland	Käärijä	Cha Cha Cha
