Running Order	Country	Artist	Song
1	🇸🇪 Sweden	The Mamas	Move
2	🇧🇾 Belarus	VAL	Da vidna
3	🇦🇺 Australia	Montaigne	Don't Break Me
4	🇲🇰 North Macedonia	Vasil	You
5	🇸🇮 Slovenia	Ana Soklič	Voda
6	🇱🇹 Lithuania	The Roop	On Fire
7	🇮🇪 Ireland	Lesley Roy	Story of My Life
8	🇷🇺 Russia	Little Big	Uno
9	🇧🇪 Belgium	Hooverphonic	Release Me
10	🇲🇹 Malta	Destiny	All of My Love
11	🇭🇷 Croatia	Damir Kedžo	Divlji vjetre
12	🇦🇿 Azerbaijan	Efendi	Cleopatra
13	🇨🇾 Cyprus	Sandro	Running
14	🇳🇴 Norway	Ulrikke	Attention
15	🇮🇱 Israel	Eden Alene	Feker Libi
16	🇷🇴 Romania	Roxen	Alcohol You
17	🇺🇦 Ukraine	Go_A	Solovey
