Running Order	Country	Artist	Song
1	🇸🇲 San Marino	Senhit feat. Flo Rida	Adrenalina
2	🇪🇪 Estonia	Uku Suviste	The Lucky One
3	🇨🇿 Czech Republic	Benny Cristo	Omaga
4	🇬🇷 Greece	Stefania	Last Dance
5	🇦🇹 Austria	Vincent Bueno	Amen
6	🇵🇱 Poland	Rafał	The Ride
7	🇲🇩 Moldova	Natalia Gordienko	Sugar
8	🇮🇸 Iceland	Daði og Gagnamagnið	10 Years
9	🇷🇸 Serbia	Hurricane	Loco loco
10	🇬🇪 Georgia	Tornike Kipiani	You
11	🇦🇱 Albania	Anxhela Peristeri	Karma
12	🇵🇹 Portugal	The Black Mamba	Love Is on My Side
13	🇧🇬 Bulgaria	Victoria	Growing Up Is Getting Old
14	🇫🇮 Finland	Blind Channel	Dark Side
15	🇱🇻 Latvia	Samanta Tīna	The Moon Is Rising
16	🇨🇭 Switzerland	Gjon's Tears	Tout l'univers
17	🇩🇰 Denmark	Fyr & Flamme	Øve os på hinanden
